"SYMBOL 
","PREV. CLOSE 
","IEP 
","CHNG 
","%CHNG 
","FINAL 
","FINAL QUANTITY 
","VALUE 
 (₹ Crores)","FFM CAP 
 (₹ Crores)","NM 52W H 
","NM 52W L 
"
"SIKKO-RE","1.57","2.19","0.62","39.49","2.19","396","-","-","2.19","0.81"
"AVON-RE","3.51","4.20","0.69","19.66","4.20","1,874","-","-","4.91","3.47"
"HINDMOTORS","29.95","34.89","4.94","16.49","34.89","7,49,176","2.61","-","48.60","15.25"
"SAJHOTELS","52.50","56.90","4.40","8.38","56.90","2,000","0.01","-","63.40","40.10"
"KOHINOOR","40.34","43.00","2.66","6.59","43.00","4,403","0.02","-","53.80","35.10"
"BAIDFIN","14.88","15.79","0.91","6.12","15.79","37,683","0.06","-","33.30","13.95"
"PRAENG","28.67","30.30","1.63","5.69","30.30","53","-","-","46.20","18.70"
"ASIANHOTNR","239.72","252.50","12.78","5.33","252.50","2,270","0.06","-","263.69","108.85"
"KHAITANLTD","84.47","88.80","4.33","5.13","88.80","1","-","-","128.00","56.25"
"BGRENERGY","89.41","93.88","4.47","5.00","93.88","16,543","0.16","-","119.50","33.10"
"EPACK","455.05","477.80","22.75","5.00","477.80","12,658","0.60","-","515.00","150.60"
"THOMASCOTT","476.34","500.15","23.81","5.00","500.15","30","-","-","500.15","185.59"
"MICEL","82.56","86.68","4.12","4.99","86.68","29,182","0.25","-","114.79","33.00"
"GPECO","249.85","262.30","12.45","4.98","262.30","1,800","0.05","-","470.00","212.20"
"K2INFRA","183.95","193.10","9.15","4.97","193.10","12,000","0.23","-","329.00","134.75"
"COMMITTED","118.70","124.60","5.90","4.97","124.60","12,800","0.16","-","118.70","48.50"
"AKANKSHA","145.95","153.20","7.25","4.97","153.20","8,000","0.12","-","191.90","62.00"
"SHRADHA","84.93","89.14","4.21","4.96","89.14","77","-","-","89.17","22.40"
"ASTRON","20.58","21.60","1.02","4.96","21.60","39,349","0.08","-","40.90","16.73"
"TCIFINANCE","19.19","20.14","0.95","4.95","20.14","1,000","-","-","20.14","3.95"
"HYBRIDFIN","16.05","16.84","0.79","4.92","16.84","4,590","0.01","-","16.90","7.75"
"OSWALAGRO","71.42","74.89","3.47","4.86","74.89","35","-","-","93.77","31.60"
"IMPEXFERRO","2.92","3.06","0.14","4.79","3.06","120","-","-","6.40","2.77"
"SAMPANN","44.40","46.50","2.10","4.73","46.50","2,825","0.01","-","47.88","17.60"
"TNTELE","12.80","13.40","0.60","4.69","13.40","20","-","-","17.10","8.60"
"HINDCON","45.29","47.40","2.11","4.66","47.40","38","-","-","69.70","38.00"
"PRECISION","43.20","45.15","1.95","4.51","45.15","2,000","0.01","-","70.90","35.15"
"UMESLTD","7.21","7.53","0.32","4.44","7.53","27","-","-","10.26","4.55"
"VHL","4,502.40","4,699.00","196.60","4.37","4,699.00","1","-","-","5,760.00","2,705.65"
"ACEINTEG","31.15","32.50","1.35","4.33","32.50","1","-","-","44.80","28.01"
"ROHLTD","339.15","353.70","14.55","4.29","353.70","6,057","0.21","-","449.00","301.10"
"DAMODARIND","42.10","43.90","1.80","4.28","43.90","2","-","-","68.60","38.46"
"MORARJEE","11.49","11.98","0.49","4.26","11.98","69","-","-","32.80","8.55"
"MOTOGENFIN","30.70","32.00","1.30","4.23","32.00","102","-","-","50.90","30.02"
"CLOUD","16.60","17.30","0.70","4.22","17.30","1,000","-","-","147.00","13.80"
"ASPIRE","42.95","44.75","1.80","4.19","44.75","2,000","0.01","-","132.00","42.35"
"KAKATCEM","190.09","198.00","7.91","4.16","198.00","1","-","-","268.00","174.00"
"AURIONPRO","1,736.15","1,808.00","71.85","4.14","1,808.00","435","0.08","-","1,991.75","890.50"
"HMT","63.89","66.50","2.61","4.09","66.50","1,152","0.01","-","105.00","41.05"
"GLOSTERLTD","686.95","715.00","28.05","4.08","715.00","14","-","-","940.05","631.20"
"ROSSTECH","469.10","488.00","18.90","4.03","488.00","6","-","-","579.00","454.55"
"FEDFINA","104.80","108.99","4.19","4.00","108.99","5,278","0.06","-","142.90","93.00"
"SAH","89.91","93.50","3.59","3.99","93.50","100","-","-","134.30","71.55"
"LPDC","10.38","10.79","0.41","3.95","10.79","247","-","-","16.76","7.20"
"SUNDRMBRAK","1,266.50","1,316.50","50.00","3.95","1,316.50","1,317","0.17","-","1,416.40","592.55"
"ANMOL","26.83","27.88","1.05","3.91","27.88","300","-","-","65.90","26.01"
"PGEL","950.85","988.00","37.15","3.91","988.00","19,633","1.94","-","1,019.00","146.71"
"NITIRAJ","223.26","231.90","8.64","3.87","231.90","2","-","-","303.00","109.10"
"CEREBRAINT","9.91","10.29","0.38","3.83","10.29","30","-","-","15.87","6.15"
"PRAXIS","19.05","19.78","0.73","3.83","19.78","80","-","-","38.00","11.15"
"MOHITIND","47.22","49.00","1.78","3.77","49.00","28,928","0.14","-","49.58","16.80"
"DBSTOCKBRO","44.88","46.56","1.68","3.74","46.56","8","-","-","67.75","32.25"
"MRO-TEK","89.37","92.70","3.33","3.73","92.70","10","-","-","126.80","57.05"
"SURANAT&P","23.96","24.85","0.89","3.71","24.85","5,062","0.01","-","29.60","14.15"
"INFOMEDIA","7.38","7.65","0.27","3.66","7.65","3","-","-","9.55","5.00"
"RAJPUTANA","328.20","340.10","11.90","3.63","340.10","10,000","0.34","-","328.20","247.00"
"BEARDSELL","39.92","41.36","1.44","3.61","41.36","24","-","-","58.90","31.53"
"FELDVR","5.28","5.47","0.19","3.60","5.47","5","-","-","6.85","4.10"
"RVTH","2,027.25","2,099.80","72.55","3.58","2,099.80","2","-","-","3,670.00","1,810.15"
"BANKA","101.19","104.80","3.61","3.57","104.80","11","-","-","166.80","69.25"
"MOBIKWIK","528.55","547.25","18.70","3.54","547.25","75,299","4.12","-","630.00","440.00"
"SHIVAMILLS","100.82","104.39","3.57","3.54","104.39","1","-","-","119.35","73.85"
"DELPHIFX","207.69","215.00","7.31","3.52","215.00","8","-","-","375.89","173.20"
"USK","46.61","48.25","1.64","3.52","48.25","50","-","-","88.50","38.25"
"SEJALLTD","599.50","620.00","20.50","3.42","620.00","10","-","-","678.95","243.00"
"PPAP","216.39","223.80","7.41","3.42","223.80","11","-","-","264.00","172.00"
"OSELDEVICE","231.15","239.00","7.85","3.40","239.00","2,400","0.06","-","243.85","169.60"
"SHALBY","221.54","229.00","7.46","3.37","229.00","842","0.02","-","339.50","204.05"
"LIBAS","16.33","16.87","0.54","3.31","16.87","1","-","-","27.35","15.25"
"SOMICONVEY","198.51","205.00","6.49","3.27","205.00","200","-","-","235.58","83.15"
